Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
S9              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S10             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S11             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S12             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S13             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S14             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S15             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S16             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S17             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S18             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S19             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S20             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S21             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S22             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S23             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S24             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S25             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S26             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S27             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S28             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S29             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S30             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S31             RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
SD1             502570-0893          SD_CARD502570-0893              502570-0893            PP_Connectors        1
SEG1            LSHD-A103            7-SEGMENT_SINGLELSHD-A103       LSHD-A103              PP_LED               1
SEG2            LSHD-A103            7-SEGMENT_SINGLELSHD-A103       LSHD-A103              PP_LED               1
SEG3            LSHD-A103            7-SEGMENT_SINGLELSHD-A103       LSHD-A103              PP_LED               1
SERVO_0                              PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
SERVO_1                              PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
